,incident_count,offense_count,data_year
0,586634,586634,2012
1,441958,441958,2017
2,118407,118407,1996
3,503226,503226,2007
4,268195,268195,2000
5,191758,191758,1998
6,155620,155620,1997
7,452673,452673,2005
8,105132,105132,1994
9,462509,462509,2016
10,341899,341899,2002
11,585312,585312,2011
12,523497,523497,2008
13,553970,553970,2009
14,491186,491186,2006
15,355539,355539,2003
16,396697,396697,2004
17,108976,108976,1993
18,522426,522426,2020
19,494159,494159,2019
20,209362,209362,1999
21,462537,462537,2015
22,482371,482371,2014
23,106919,106919,1992
24,92719,92719,1991
25,311733,311733,2001
26,95113,95113,1995
27,570557,570557,2010
28,434631,434631,2018
29,537536,537536,2013
