,count,data_year
18,1661,1991
20,1898,1991
63,105244,1991
78,20810,1991
121,23492,1991
185,9333,1991
197,53128,1991
220,46673,1991
1,2647,1992
12,1626,1992
70,28054,1992
86,131942,1992
144,35332,1992
191,64628,1992
193,15223,1992
230,54155,1992
8,172552,1993
17,24043,1993
77,1203,1993
85,2858,1993
127,368,1993
140,71514,1993
161,64129,1993
177,37500,1993
28,35719,1994
69,74404,1994
82,454,1994
110,65281,1994
125,2529,1994
130,1176,1994
190,27226,1994
200,175249,1994
36,2132,1995
41,1182,1995
104,41351,1995
117,152310,1995
175,32207,1995
194,59226,1995
216,71294,1995
231,727,1995
6,950,1996
21,91099,1996
31,75413,1996
73,37815,1996
128,190175,1996
146,54809,1996
198,2585,1996
207,1432,1996
5,99265,1997
37,1288,1997
54,138971,1997
101,42329,1997
154,254385,1997
173,79270,1997
226,3713,1997
235,1903,1997
14,109806,1998
43,1970,1998
47,181570,1998
96,43403,1998
150,302726,1998
168,98422,1998
227,2513,1998
237,4266,1998
39,350126,1999
56,117899,1999
113,5461,1999
119,3007,1999
120,124514,1999
152,2261,1999
169,201682,1999
218,48236,1999
3,3330,2000
26,257803,2000
34,160886,2000
66,72835,2000
133,458713,2000
143,157597,2000
195,7398,2000
205,4115,2000
19,9734,2001
25,5054,2001
65,486779,2001
87,176903,2001
132,89459,2001
181,3967,2001
203,294793,2001
212,192841,2001
13,106392,2002
62,4205,2002
88,316074,2002
95,206749,2002
135,10047,2002
142,5439,2002
187,503254,2002
202,176602,2002
42,116777,2003
60,214390,2003
91,4299,2003
116,304672,2003
167,10414,2003
174,5622,2003
217,527582,2003
236,180222,2003
15,194530,2004
23,608000,2004
64,10310,2004
74,6607,2004
126,323268,2004
139,4833,2004
162,238545,2004
206,123430,2004
2,249709,2005
32,5437,2005
50,357400,2005
98,138862,2005
159,669666,2005
171,214103,2005
229,9453,2005
238,7441,2005
30,138556,2006
72,248142,2006
97,6507,2006
111,375601,2006
163,7882,2006
170,9204,2006
213,704680,2006
221,226425,2006
4,6902,2007
29,385249,2007
38,287930,2007
71,132119,2007
131,711922,2007
145,228198,2007
192,7877,2007
201,7840,2007
53,134523,2008
83,326169,2008
100,402412,2008
108,6915,2008
148,7009,2008
155,7834,2008
215,226270,2008
234,707109,2008
35,123132,2009
67,372344,2009
99,6844,2009
105,438864,2009
165,8058,2009
172,6849,2009
211,674858,2009
224,225580,2009
49,7678,2010
59,6290,2010
90,714530,2010
112,238794,2010
153,119569,2010
183,352643,2010
219,6555,2010
222,430641,2010
46,108427,2011
89,364393,2011
93,410419,2011
118,6643,2011
149,7008,2011
158,6414,2011
209,251816,2011
225,755798,2011
10,412064,2012
24,7825,2012
57,412577,2012
79,97986,2012
123,264271,2012
141,785025,2012
178,7289,2012
184,6539,2012
44,5068,2013
52,7125,2013
102,762499,2013
114,259806,2013
156,89681,2013
179,434560,2013
208,7807,2013
232,393039,2013
7,4457,2014
16,6360,2014
75,246101,2014
84,735573,2014
147,81995,2014
186,375844,2014
196,7563,2014
223,460457,2014
0,6380,2015
11,4313,2015
61,236659,2015
80,716588,2015
137,79782,2015
180,401060,2015
204,7928,2015
239,481235,2015
27,83059,2016
68,445678,2016
81,7927,2016
109,471970,2016
124,4189,2016
129,6911,2016
189,232006,2016
199,729187,2016
9,461258,2017
22,8190,2017
58,480107,2017
76,88235,2017
122,226855,2017
138,744947,2017
176,6759,2017
182,4494,2017
48,7284,2018
55,4594,2018
94,777593,2018
107,218779,2018
151,99071,2018
188,512439,2018
214,8550,2018
228,492951,2018
33,923370,2019
45,243152,2019
106,9352,2019
115,5629,2019
134,622175,2019
160,10919,2019
166,602297,2019
210,118464,2019
40,214590,2020
51,991783,2020
92,5854,2020
103,8198,2020
136,605945,2020
157,697906,2020
164,9687,2020
233,170270,2020
