,value,data_year,month_num,key
16,407835,1991,0,Count
1,491957,1992,0,Count
12,533482,1993,0,Count
20,540775,1994,0,Count
23,506547,1995,0,Count
8,639485,1996,0,Count
5,869600,1997,0,Count
14,1052104,1998,0,Count
6,1191941,1999,0,Count
3,1573352,2000,0,Count
18,1783088,2001,0,Count
13,1894351,2002,0,Count
24,1947870,2003,0,Count
15,2161328,2004,0,Count
2,2421131,2005,0,Count
21,2535803,2006,0,Count
4,2591680,2007,0,Count
29,2643027,2008,0,Count
22,2688903,2009,0,Count
28,2721064,2010,0,Count
26,2769484,2011,0,Count
7,2861553,2012,0,Count
25,2770757,2013,0,Count
10,2671874,2014,0,Count
0,2679147,2015,0,Count
19,2765012,2016,0,Count
11,2805085,2017,0,Count
27,2933447,2018,0,Count
9,3473577,2019,0,Count
17,3780115,2020,0,Count
