,incident_count,offense_count,data_year
0,11797,11797,1996
1,34645,34645,2000
2,81023,81023,2007
3,74626,74626,2012
4,72311,72311,2017
5,71542,71542,2005
6,15254,15254,1997
7,19544,19544,1998
8,44967,44967,2002
9,12214,12214,1994
10,73328,73328,2016
11,46099,46099,2003
12,79559,79559,2009
13,79563,79563,2006
14,81736,81736,2008
15,72942,72942,2011
16,12450,12450,1993
17,54699,54699,2004
18,22657,22657,1999
19,95627,95627,2019
20,102677,102677,2020
21,42851,42851,2001
22,11655,11655,1991
23,68471,68471,2014
24,12533,12533,1992
25,70713,70713,2015
26,72200,72200,2013
27,75569,75569,2010
28,78559,78559,2018
29,8904,8904,1995
