,incident_count,offense_count,data_year
0,29977,29977,2008
1,32951,32951,2011
2,21697,21697,2003
3,30547,30547,2006
4,30736,30736,2009
5,2230,2230,1994
6,45781,45781,2016
7,20097,20097,2002
8,31740,31740,2005
9,8128,8128,1997
10,10916,10916,1998
11,49301,49301,2017
12,36594,36594,2012
13,14906,14906,2000
14,31071,31071,2007
15,5638,5638,1996
16,3971,3971,1995
17,37367,37367,2013
18,53094,53094,2018
19,30912,30912,2010
20,2034,2034,1992
21,37273,37273,2014
22,39088,39088,2015
23,18815,18815,2001
24,1485,1485,1991
25,72323,72323,2020
26,11788,11788,1999
27,62034,62034,2019
28,26987,26987,2004
29,1573,1573,1993
