,incident_count,offense_count,data_year
8,17295,17295,1991
6,25002,25002,1992
1,22117,22117,1993
22,24939,24939,1994
10,38206,38206,1995
18,50289,50289,1996
21,72235,72235,1997
19,88867,88867,1998
4,107014,107014,1999
16,142667,142667,2000
9,160727,160727,2001
24,160409,160409,2002
29,163445,163445,2003
0,176445,176445,2004
20,194430,194430,2005
27,204325,204325,2006
17,205812,205812,2007
26,202265,202265,2008
28,201895,201895,2009
12,213582,213582,2010
25,226382,226382,2011
15,237507,237507,2012
13,234070,234070,2013
7,222097,222097,2014
5,214014,214014,2015
23,209612,209612,2016
14,204493,204493,2017
11,197179,197179,2018
3,219479,219479,2019
2,194512,194512,2020
