Data Source,,World Development Indicators,,https://data.worldbank.org/indicator/SP.POP.TOTL?end=2020&locations=US&start=2011,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,10/28/2021,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Population, total",SP.POP.TOTL,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,532760424,547482863,562601578,578075373,593871847,609978946,626392880,643090131,660046272,677243299
Afghanistan,AFG,"Population, total",SP.POP.TOTL,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,360285439,370243017,380437896,390882979,401586651,412551299,423769930,435229381,446911598,458803476
Angola,AGO,"Population, total",SP.POP.TOTL,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
Albania,ALB,"Population, total",SP.POP.TOTL,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743
Andorra,AND,"Population, total",SP.POP.TOTL,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265
Arab World,ARB,"Population, total",SP.POP.TOTL,363156846,371437642,379696477,387899835,396028301,404042892,411942825,419851989,427870273,436080728
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400
Argentina,ARG,"Population, total",SP.POP.TOTL,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763
Armenia,ARM,"Population, total",SP.POP.TOTL,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234
American Samoa,ASM,"Population, total",SP.POP.TOTL,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928
Australia,AUS,"Population, total",SP.POP.TOTL,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25687041
Austria,AUT,"Population, total",SP.POP.TOTL,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8917205
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10110116
Burundi,BDI,"Population, total",SP.POP.TOTL,8958406,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781
Belgium,BEL,"Population, total",SP.POP.TOTL,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11555997
Benin,BEN,"Population, total",SP.POP.TOTL,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,16081915,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278
Bangladesh,BGD,"Population, total",SP.POP.TOTL,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6927288
Bahrain,BHR,"Population, total",SP.POP.TOTL,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815
Belarus,BLR,"Population, total",SP.POP.TOTL,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9483499,9417849,9398861
Belize,BLZ,"Population, total",SP.POP.TOTL,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621
Bermuda,BMU,"Population, total",SP.POP.TOTL,64564,64798,65001,65138,65237,64554,63873,63919,63913,63903
Bolivia,BOL,"Population, total",SP.POP.TOTL,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029
